interaction_id,userId,productId,session_id,action_type,timestamp,view_duration,rating,product_name,category,brand,description,search_query,current_price,discount_percent,in_stock,preference_score
I2064,U006,B0D5YFPKFQ,S2496,purchase,2025-07-01 04:22:43,85,2.6,52Wh 722KK FP86V Laptop Battery for Dell XPS 13 9300 XPS 13 9310 XPS 13 9380 P117G P117G002 P117G001 Series Notebook 0WN0N0 WN0N0 02XXFW 2XXFW,Computers & Laptops,Fancy Buying,"Upgrade your lifestyle with the Fancy Buying 52Wh 722KK FP86V Laptop Battery for Dell XPS 13 9300 XPS 13 .... Designed specifically for Item enthusiasts, it offers premium features and unmatched durability.",dell xps 13 laptop,42.98,5,42,5.259
I13,U015,B0DTPRJRYN,S3927,purchase,2025-07-01 04:22:43,269,4.4,"Apple 2024 Mac Mini with Apple M4 Chip with 10-Core CPU, 24GB RAM, 512GB SSD Storage - Silver (Renewed)",Computers & Laptops,Apple,"Looking for the best in Item? The Apple 2024 Mac Mini with Apple M4 Chip with 10-Core CPU, 24G... by Premium Quality provides exceptional value and reliability. Built to last.",mac mini m4,819.99,10,39,5.893
I1539,U016,B0D4SSLHH9,S7845,view,2025-07-01 04:22:43,278,4.3,"SAMSUNG Galaxy S24 Ultra 5G, US Version, 512GB, Titanium Violet - T-Mobile (Renewed)",Smartphones,Samsung,"Looking for the best in Item? The SAMSUNG Galaxy S24 Ultra 5G, US Version, 512GB, Titanium Vio... by Premium Quality provides exceptional value and reliability. Built to last.",samsung galaxy s24 ultra,639.86,0,0,1.924
I3056,U014,B074TC662N,S1973,view,2025-07-01 04:22:43,70,4.5,Ethernet Adapter for Amazon Fire TV Devices,Streaming Devices,Amazon,"Upgrade your lifestyle with the Premium Quality Ethernet Adapter for Amazon Fire TV Devices. Designed specifically for Item enthusiasts, it offers premium features and unmatched durability.",amazon fire tv stick 4k,14.99,0,0,1.207
I1055,U008,B0FV5F773P,S8898,purchase,2025-07-01 04:22:43,72,4.4,"MSI PRO MP243W E14 24-inch IPS 1920 x 1080 (FHD) Computer Monitor, 144Hz, Adaptive-Sync, HDR Ready, HDMI, Display Port, VESA Mountable, Tilt, 4-Side Slim Bezel, 1ms, White",Monitors,Msi,Discover the ultimate Item experience with Premium Quality. The MSI PRO MP243W E14 24-inch IPS 1920 x 1080 (FHD) Computer Mo... combines sleek design with outstanding performance.,monitor,94.99,15,16,5.214
I2897,U008,B0CZX9HJWF,S9419,cart,2025-07-01 04:22:43,232,3.7,Head Case Designs Officially Licensed NHL Half Distressed Dallas Stars Vinyl Faceplate Sticker Gaming Skin Decal Cover Compatible With Sony PlayStation 5 PS5 Disc Edition Console,Gaming,Playstation,Looking for the best in Item? The Head Case Designs Officially Licensed NHL Half Distressed Da... by Premium Quality provides exceptional value and reliability. Built to last.,sony playstation 5 console,25.95,0,115,3.766
I2931,U012,B07XLPNJZ7,S2382,view,2025-07-01 04:22:43,97,4.2,Sony Playstation Vita Wi-Fi 2000 Series with AC Adapter and Silicon Joystick Covers (Aqua Blue) (Renewed),Gaming,Playstation,Discover the ultimate Item experience with Premium Quality. The Sony Playstation Vita Wi-Fi 2000 Series with AC Adapter and ... combines sleek design with outstanding performance.,sony playstation 5 console,239.94,15,116,1.3
I69,U018,B0FRFKDD13,S8043,view,2025-07-01 04:22:43,174,4.0,"Mac mini M4 Dock & Stand with Dual-Bay NVMe SSD Enclosure, Aluminum HDMI Hub for Mac mini M4 and M4 Pro 2024, 4K60Hz HDMI,4 X 10G USB A, PD 30W, SD/TF, Support SSD B+M M-Key",Computers & Laptops,Acasis,"Upgrade your lifestyle with the ACASIS Mac mini M4 Dock & Stand with Dual-Bay NVMe SSD Enclosure, A.... Designed specifically for Item enthusiasts, it offers premium features and unmatched durability.",mac mini m4,85.49,10,68,1.5659999999999998
I565,U006,B0CRJ2GWSM,S1530,view,2025-07-01 04:22:43,103,4.6,"Apple iPhone 15 Pro Max, 256GB, Natural Titanium - Verizon (Renewed Premium)",Smartphones,Apple,"Looking for the best in Item? The Apple iPhone 15 Pro Max, 256GB, Natural Titanium - Verizon (... by Premium Quality provides exceptional value and reliability. Built to last.",iphone 15,704.97,20,60,1.321
I2011,U007,B09P645J19,S4416,view,2025-07-01 04:22:43,101,3.7,"Dell XPS 13 9305 Laptop: Core i5-1135G7, 8GB RAM, 256GB SSD, 13.3"" Full HD Display, Backlit Keyboard, Windows 11 (Renewed)",Computers & Laptops,Dell,"Discover the ultimate Item experience with Premium Quality. The Dell XPS 13 9305 Laptop: Core i5-1135G7, 8GB RAM, 256GB SSD,... combines sleek design with outstanding performance.",dell xps 13 laptop,969.9,15,0,1.314
I2164,U010,B01KZ7HCWG,S8602,cart,2025-07-01 04:22:43,98,4.6,"Laptop Sleeve 13-14 Inch Case Briefcase Compatible with MacBook Pro 14 inch M4/M3/M2/M1 All Model of 13.3 Inch Mac Air/Pro, XPS 13 14, Most Popular 13""-14"" Notebooks,D01G01",Computers & Laptops,Hseok,Discover the ultimate Item experience with Hseok. The Laptop Sleeve 13-14 Inch Case Briefcase Compatible with MacB... combines sleek design with outstanding performance.,dell xps 13 laptop,15.99,20,120,3.303
I1992,U005,B07FS2GB6T,S8430,view,2025-07-02 04:22:43,204,3.1,"Dell XPS 13 9370 Series 4K UHD Touchscreen 8th Intel Quad Core 8GB Fingerprint Reader SSD (i5 128, Rose Gold) (Renewed)",Computers & Laptops,Dell,"Upgrade your lifestyle with the Premium Quality Dell XPS 13 9370 Series 4K UHD Touchscreen 8th Intel Quad Co.... Designed specifically for Item enthusiasts, it offers premium features and unmatched durability.",dell xps 13 laptop,469.0,20,97,1.669
I633,U002,B0DWKWX6FS,S3762,view,2025-07-02 04:22:43,91,4.2,"Apple iPhone 15 Pro Max, 512GB, Natural Titanium for Boost Mobile (Renewed Premium)",Smartphones,Apple,"Upgrade your lifestyle with the Premium Quality Apple iPhone 15 Pro Max, 512GB, Natural Titanium for Boost M.... Designed specifically for Item enthusiasts, it offers premium features and unmatched durability.",iphone 15,744.97,15,71,1.279
I86,U016,B0CM6KHGN7,S7389,view,2025-07-02 04:22:43,224,4.4,"Alloy 9 Mini Gaming PC AI AMD Ryzen 9 7940HS(up to 5.2GHz) 32GB DDR5 1TB SSD 5600 MHz RAM, Desktop Mini Computers,Radeon 780M Graphics,Quad Display 2.5G LAN,2xHDMI 2.1,8K USB 4.0 Wi-Fi 6E/BT5.3",Computers & Laptops,Reatan,Looking for the best in Item? The Alloy 9 Mini Gaming PC AI AMD Ryzen 9 7940HS(up to 5.2GHz) 3... by Reatan provides exceptional value and reliability. Built to last.,mac mini m4,499.0,10,83,1.738
I2130,U005,B0D3LZ72VK,S5224,purchase,2025-07-02 04:22:43,111,4.4,"130W USB C Laptop Charger Compatible with Dell XPS 16 9640, XPS 13 9340, XPS 14 9440 Type C Power Supply",Computers & Laptops,Dell,"Discover the ultimate Item experience with Premium Quality. The 130W USB C Laptop Charger Compatible with Dell XPS 16 9640, ... combines sleek design with outstanding performance.",dell xps 13 laptop,34.99,10,0,5.348
I3867,U018,B0DRJ1PR61,S1532,view,2025-07-02 04:22:43,213,4.3,"Case for Kindle Paperwhite 12th Gen 2024. Kindle Colorsoft Signature Edition, Bible Verses Inspirational Lightweight PU Leather Protective Stand TPU Cover Foldable with Auto Sleep/Wake",E-Readers,Kindle,"Upgrade your lifestyle with the Premium Quality Case for Kindle Paperwhite 12th Gen 2024. Kindle Colorsoft S.... Designed specifically for Item enthusiasts, it offers premium features and unmatched durability.",kindle paperwhite 2024,17.99,20,11,1.7
I1325,U014,B0CSW9N88T,S8760,cart,2025-07-02 04:22:43,184,4.2,"Cooling-Gel Replacement Earpads for Sony WH-1000XM5 (WH1000XM5) Noise Canceling Headphones, Ear Pads Cushions with High-Density Noise Isolation Foam, Added Thickness - Dark Green",Audio & Speakers,Soulwit,"Upgrade your lifestyle with the SOULWIT Cooling-Gel Replacement Earpads for Sony WH-1000XM5 (WH1000X.... Designed specifically for Item enthusiasts, it offers premium features and unmatched durability.",sony wh-1000xm5 headphones,19.95,5,65,3.6
I211,U012,B0FX58ZCKN,S7566,purchase,2025-07-02 04:22:43,45,3.3,"Mate Mini-A for Mac mini M4 Dock,80Gbps Aluminum Alloy Stand with Dual M.2 PCIe SSD Slots 16TB(8TB*2), USB-C*1、USB-A 3.0 * 2、2.5G LAN*1、SD4.0 * 1、Type-C(PD3.0)*1, Audio Jack",Computers & Laptops,Mate,"Discover the ultimate Item experience with Premium Quality. The Mate Mini-A for Mac mini M4 Dock,80Gbps Aluminum Alloy Stand... combines sleek design with outstanding performance.",mac mini m4,189.0,5,29,5.121
I2452,U017,B0FCS5TLSY,S3642,view,2025-07-02 04:22:43,43,3.0,"New Bolt USB-A Receiver USB Receiver, W126584295 Bolt, Black, Green for Mouse and Keyboard Compatible for Any Logitech Product That Display The Bolt Logo",Computer Accessories,Logitech,"Upgrade your lifestyle with the Premium Quality New Bolt USB-A Receiver USB Receiver, W126584295 Bolt, Black.... Designed specifically for Item enthusiasts, it offers premium features and unmatched durability.",logitech mx master 3s mouse,10.99,10,127,1.114
I3138,U016,B09N64QQ87,S5933,view,2025-07-02 04:22:43,79,4.2,Made for Amazon Remote Plus V2 for Alexa Voice Remote (3rd Gen).,Streaming Devices,Amazon,Discover the ultimate Item experience with Premium Quality. The Made for Amazon Remote Plus V2 for Alexa Voice Remote (3rd G... combines sleek design with outstanding performance.,amazon fire tv stick 4k,29.99,0,55,1.238
I3532,U002,B0CKXQ3H96,S3642,purchase,2025-07-02 04:22:43,286,4.6,"Sport Bands Compatible with Apple Watch Band 42mm 41mm 45mm 49mm 40mm 44mm 38mm 42mm 46mm, Silicone Waterproof Strap for iWatch Series 10 9 8 7 6 5 4 3 2 1 Ultra 2/Ultra SE/SE 2 Women Men",Wearables,Apple,Looking for the best in Item? The Sport Bands Compatible with Apple Watch Band 42mm 41mm 45mm ... by Premium Quality provides exceptional value and reliability. Built to last.,apple watch series 9,5.59,10,70,5.952
I2704,U009,B0B4X5QWQB,S4633,view,2025-07-02 04:22:43,240,3.9,Sony PlayStation 4 Console 1TB - Black (Renewed),Gaming,Playstation,Looking for the best in Item? The Sony PlayStation 4 Console 1TB - Black (Renewed) by Premium Quality provides exceptional value and reliability. Built to last.,sony playstation 5 console,254.99,20,27,1.7930000000000001
I3068,U018,B0CQYHZQBN,S4282,view,2025-07-02 04:22:43,216,4.5,"Silicone Remote Case (2pcs) for Fire TV Stick 4K Max/Insignia/Pioneer/Omni Series Fire TV Alexa Voice Remote Enhanced w/Lanyard (Green and Turquoise, Both Glow)",Streaming Devices,Pinowu,"Upgrade your lifestyle with the PINOWU Silicone Remote Case (2pcs) for Fire TV Stick 4K Max/Insigni.... Designed specifically for Item enthusiasts, it offers premium features and unmatched durability.",amazon fire tv stick 4k,6.99,10,128,1.71
I2725,U014,B01GVQVQH2,S2572,view,2025-07-02 04:22:43,276,4.6,Sony PlayStation 4 500GB Console - Black,Gaming,Playstation,"Upgrade your lifestyle with the Premium Quality Sony PlayStation 4 500GB Console - Black. Designed specifically for Item enthusiasts, it offers premium features and unmatched durability.",sony playstation 5 console,41809.0,15,39,1.917
I945,U018,B0F8HLJ9L9,S4897,purchase,2025-07-02 04:22:43,121,4.5,"Yodoit Portable Monitor for Laptop, 15.6"" 1920×1080 Travel Screen FHD IPS Display with USB Type C Port, Speakers and Smart Cover Compatible with PC, MacBook, Xbox (Black)",Monitors,Xbox,"Looking for the best in Item? The Yodoit Portable Monitor for Laptop, 15.6"" 1920×1080 Travel S... by Premium Quality provides exceptional value and reliability. Built to last.",monitor,47.49,20,71,5.383
I2976,U016,B0CJM1GNFQ,S4850,view,2025-07-02 04:22:43,273,4.7,"Fire TV Stick 4K (newest model) with AI-powered Fire TV Search, Wi-Fi 6, stream over 1.8 million movies and shows, free & live TV",Streaming Devices,Amazon,Discover the ultimate Item experience with Amazon. The Fire TV Stick 4K (newest model) with AI-powered Fire TV Sear... combines sleek design with outstanding performance.,amazon fire tv stick 4k,24.99,10,0,1.907
I682,U016,B0DK439YGV,S8091,cart,2025-07-02 04:22:43,257,4.2,"Apple iPhone 15 Plus, 128GB, Yellow - TracFone (Renewed)",Smartphones,Apple,"Looking for the best in Item? The Apple iPhone 15 Plus, 128GB, Yellow - TracFone (Renewed) by Premium Quality provides exceptional value and reliability. Built to last.",iphone 15,497.95,20,51,3.852
I4093,U015,B0F2JHSGCJ,S9469,purchase,2025-07-02 04:22:43,215,4.5,"Ranger: Loud! Outdoor Portable Bluetooth 5.4 Speaker | Rugged, Waterproof, Ultra-Portable | Plays to 105db, Deep Bass, Shockproof, Unlimited Pairing for Full Stereo Experience, Tan",Audio & Speakers,Turtlebox,Discover the ultimate Item experience with Turtlebox. The Ranger: Loud! Outdoor Portable Bluetooth 5.4 Speaker | Rugge... combines sleek design with outstanding performance.,jbl flip 6 portable speaker,250.0,5,76,5.707
I881,U010,B097FZG8QQ,S4519,purchase,2025-07-02 04:22:43,171,4.2,Sceptre New IPS 24-inch Gaming Monitor 180+Hz DP x2 HDMI x2 1ms 100% sRGB Build-in Speakers Machine Black 2026 (E248B-FPT168 Series),Monitors,Sceptre,Looking for the best in Item? The Sceptre New IPS 24-inch Gaming Monitor 180+Hz DP x2 HDMI x2 ... by Premium Quality provides exceptional value and reliability. Built to last.,monitor,89.97,10,38,5.555
I1775,U013,B0CP9GCW8D,S9315,cart,2025-07-02 04:22:43,155,4.2,"for Samsung Galaxy S24 Ultra Wallet Case, PU Leather Case with Card Holder and Camera Cover, Built-in Camera Stand, Card Slot, Magnetic Flip Cover for Galaxy S24 Ultra 6.8 inch - Brown",Smartphones,Nillkin,"Upgrade your lifestyle with the Nillkin for Samsung Galaxy S24 Ultra Wallet Case, PU Leather Case wi.... Designed specifically for Item enthusiasts, it offers premium features and unmatched durability.",samsung galaxy s24 ultra,20.53,10,0,3.5
I1304,U011,B0DRYBM8KT,S8074,cart,2025-07-03 04:22:43,222,3.5,Boom Mic Headphones Cable Compatible with Sony WH-ULT900N WH-1000XM5 WH-1000XM4 WH-XB920N Gaming Headset 3.5mm Noise Cancelling Detachable Boom Mic Nylon Braided with Foam (5.9 FT),Audio & Speakers,Toxaoii,"Upgrade your lifestyle with the Toxaoii Boom Mic Headphones Cable Compatible with Sony WH-ULT900N WH.... Designed specifically for Item enthusiasts, it offers premium features and unmatched durability.",sony wh-1000xm5 headphones,18.98,0,131,3.731
I3148,U002,B09ZJ8FJ29,S4059,view,2025-07-03 04:22:43,70,4.4,[2-Pack] Climberer Cover Fire TV Stick 4K Max (2nd Gen) for Insignia/Pioneer/2-Series/4-Series/Omni Fire TV Remote- Luminous Silicone with Lanyard,Streaming Devices,Pack,Looking for the best in Item? The [2-Pack] Climberer Cover Fire TV Stick 4K Max (2nd Gen) for ... by Premium Quality provides exceptional value and reliability. Built to last.,amazon fire tv stick 4k,7.9,15,115,1.207
I963,U007,B0F3MMK1J4,S5168,cart,2025-07-03 04:22:43,44,4.3,"AOC 16T20 Portable Monitor 15.6"" FHD 1080p IPS Display, USB-C Portable Laptop Screen, Mini HDMI, Built-in Speakers, Travel Monitor with Smart Cover, Compatible with Laptops, MacBook, PS5, Xbox",Monitors,Xbox,"Discover the ultimate Item experience with Premium Quality. The AOC 16T20 Portable Monitor 15.6"" FHD 1080p IPS Display, USB-... combines sleek design with outstanding performance.",monitor,49.99,5,135,3.117
I3566,U013,B0CHXFC9VB,S2937,purchase,2025-07-03 04:22:43,26,4.8,"Watch Series 9 [GPS + Cellular 45mm] Smartwatch with Pink Aluminum Case with Pink Sport Band M/L. Fitness Tracker, Blood Oxygen & ECG Apps, Always-On Retina Display",Wearables,Apple,"Upgrade your lifestyle with the Apple Watch Series 9 [GPS + Cellular 45mm] Smartwatch with Pink Al.... Designed specifically for Item enthusiasts, it offers premium features and unmatched durability.",apple watch series 9,526.78,10,31,5.055
I3934,U012,B0DQPHJRMZ,S8586,view,2025-07-03 04:22:43,98,5.0,"Kindle Paperwhite Bundle: Silicone Clutch & Hand Strap for Kindle Paperwhite 6.8” (11th & 12th Gen), Colorsoft, Signature Edition, and Other 6’’ E-Readers, Large - Blush",E-Readers,Kindle,Looking for the best in Item? The Kindle Paperwhite Bundle: Silicone Clutch & Hand Strap for K... by Premium Quality provides exceptional value and reliability. Built to last.,kindle paperwhite 2024,2430.0,20,123,1.303
I1784,U014,B0CRB26BB6,S9907,view,2025-07-03 04:22:43,50,4.3,"for Samsung Galaxy S24 Ultra Case with Built-in Slide Camera Cover & Screen Protector & Kickstand, Shockproof Rugged Case Full-Body Bumper Protective Cover for Galaxy S24 Ultra (2024),Navy Blue",Smartphones,Dexnor,"Upgrade your lifestyle with the Dexnor for Samsung Galaxy S24 Ultra Case with Built-in Slide Camera.... Designed specifically for Item enthusiasts, it offers premium features and unmatched durability.",samsung galaxy s24 ultra,26.99,20,34,1.138
I2126,U015,B0CY2GLPYB,S7581,cart,2025-07-03 04:22:43,226,3.1,New Slim 65W USB C Laptop Charger Compatible with Dell Latitude 5520 5420 7420 7275 5285 XPS 13 Chromebook 3100 DA65NM190 LA65NM190 USB C Type C Power Cord,Computers & Laptops,Dell,"Upgrade your lifestyle with the Premium Quality New Slim 65W USB C Laptop Charger Compatible with Dell Latit.... Designed specifically for Item enthusiasts, it offers premium features and unmatched durability.",dell xps 13 laptop,8.99,15,36,3.745
I1570,U013,B0CQ5MGXLD,S6176,purchase,2025-07-03 04:22:43,84,4.5,for Samsung Galaxy S24 Ultra Case MagSafe Compatible - Limitless 5.0 - Carbon Fibre - Protective S24 Ultra Case - Shockproof Phone Cover,Smartphones,Mous,"Upgrade your lifestyle with the Mous for Samsung Galaxy S24 Ultra Case MagSafe Compatible - Limit.... Designed specifically for Item enthusiasts, it offers premium features and unmatched durability.",samsung galaxy s24 ultra,44.99,20,31,5.255
I3109,U015,B00Z7Z2SM6,S2674,view,2025-07-03 04:22:43,207,4.5,HDMI to Composite AV Converter for Amazon Fire Streaming Stick: Use Amazon Fire Streaming Stick with Older TVs that have Composite (red/white/yellow) Inputs. [NOTE: AMAZON STICK SOLD SEPARATELY],Streaming Devices,Amazon,"Upgrade your lifestyle with the Premium Quality HDMI to Composite AV Converter for Amazon Fire Streaming Sti.... Designed specifically for Item enthusiasts, it offers premium features and unmatched durability.",amazon fire tv stick 4k,24.99,5,97,1.679
I2102,U012,B084J74N6W,S6483,view,2025-07-03 04:22:43,182,4.7,"Laptop Sleeve 11 Inch Water-Resistant Computer Case Hand Bag for 13"" MacBook Pro M2/13 Surface Pro 8 X/13.4"" DELL XPS 13/12.4"" Samsung Galaxy Tab S7/11.6"" Samsung Chromebook 4/13.3"" ASUS,Brown",Computers & Laptops,Kizuna,Looking for the best in Item? The Laptop Sleeve 11 Inch Water-Resistant Computer Case Hand Bag... by KIZUNA provides exceptional value and reliability. Built to last.,dell xps 13 laptop,12.19,5,51,1.593
I3734,U013,B0CP32KPTM,S2346,view,2025-07-03 04:22:43,290,4.6,"Like-New Amazon Kindle (16 GB) - Lightest and most compact Kindle, with glare-free display, faster page turns, adjustable front light, and long battery life - Matcha",E-Readers,Amazon,"Upgrade your lifestyle with the Premium Quality Like-New Amazon Kindle (16 GB) - Lightest and most compact K.... Designed specifically for Item enthusiasts, it offers premium features and unmatched durability.",kindle paperwhite 2024,71511.0,10,76,1.966
I3095,U015,B08G9WNWMR,S1420,view,2025-07-03 04:22:43,142,4.4,"MightySkins Glossy Glitter Skin for Amazon Fire TV Stick 4K - Pink | Protective, Durable High-Gloss Glitter Finish | Easy to Apply, Remove, and Change Styles | Made in The USA",Streaming Devices,Mightyskins,Discover the ultimate Item experience with Premium Quality. The MightySkins Glossy Glitter Skin for Amazon Fire TV Stick 4K ... combines sleek design with outstanding performance.,amazon fire tv stick 4k,11.99,20,149,1.455
I3298,U006,B081P3JXSY,S6795,view,2025-07-03 04:22:43,276,4.7,"MightySkins Carbon Fiber Skin for Amazon Fire TV Stick 4K - Marble Glitz | Protective, Durable Textured Carbon Fiber Finish | Easy to Apply, Remove, and Change Styles | Made in The USA",Streaming Devices,Mightyskins,Discover the ultimate Item experience with Premium Quality. The MightySkins Carbon Fiber Skin for Amazon Fire TV Stick 4K - ... combines sleek design with outstanding performance.,amazon fire tv stick 4k,11.99,5,23,1.917
I1724,U020,B0CLZFNKSJ,S4305,view,2025-07-03 04:22:43,26,4.3,"Case for Samsung Galaxy S24 Ultra with Slide Camera Cover+Screen Protector (1 Pack), Rotated Ring Kickstand Military Grade Shockproof Protective Cover-Black",Smartphones,Deerlamn,"Upgrade your lifestyle with the DEERLAMN Case for Samsung Galaxy S24 Ultra with Slide Camera Cover+Sc.... Designed specifically for Item enthusiasts, it offers premium features and unmatched durability.",samsung galaxy s24 ultra,9.94,10,99,1.055
I614,U020,B0CMZPM22C,S6004,view,2025-07-03 04:22:43,150,1.0,"Apple iPhone 15 Pro, 1TB, Blue Titanium - AT&T (Renewed)",Smartphones,Apple,"Upgrade your lifestyle with the Premium Quality Apple iPhone 15 Pro, 1TB, Blue Titanium - AT&T (Renewed). Designed specifically for Item enthusiasts, it offers premium features and unmatched durability.",iphone 15,694.17,5,80,1.483
I2546,U013,B0DBRKKHDZ,S7142,view,2025-07-03 04:22:43,116,5.0,910007283 M340 Design Collection Wireless Mouse - Sheer Dream,Computer Accessories,Logitech,Discover the ultimate Item experience with Logitech. The 910007283 M340 Design Collection Wireless Mouse - Sheer Drea... combines sleek design with outstanding performance.,logitech mx master 3s mouse,78823.0,10,99,1.366
I1234,U013,B0F7M3HPBD,S5186,purchase,2025-07-03 04:22:43,164,4.1,"New QuietComfort Ultra Earbuds (2nd Gen) - Wireless Noise Cancelling Earbuds with Mic, Immersive Audio, USB-C Charging, Up to 6 Hours Battery, IPX4 Rating, Black",Audio & Speakers,Bose,Discover the ultimate Item experience with Bose. The New QuietComfort Ultra Earbuds (2nd Gen) - Wireless Noise Ca... combines sleek design with outstanding performance.,sony wh-1000xm5 headphones,216.0,15,57,5.531
I834,U010,B0DHG6C4FQ,S4788,cart,2025-07-03 04:22:43,13,4.6,"Portable Monitor 15.6 Inch 1080P USB-C HDMI Ultra-Slim Travel Monitor with Kickstand, Compatible with Xbox, Laptop, PC, Mac Phone, PS, Swich IPS Ultra-Thin Zero Frame Gaming Monitor",Monitors,Xbox,Discover the ultimate Item experience with Premium Quality. The Portable Monitor 15.6 Inch 1080P USB-C HDMI Ultra-Slim Trave... combines sleek design with outstanding performance.,monitor,39.99,15,132,3.01
I1631,U012,B0CPTCLQ7V,S4236,view,2025-07-03 04:22:43,53,4.5,"Galaxy S24 Ultra S-View Wallet Phone Case, Protective Cover with Smart Small Screen View, Finger Tap Control, Slim Design, Card Holder Pocket, US Version, EF-ZS928CBEGUS, Black",Smartphones,Samsung,"Discover the ultimate Item experience with Samsung. The Galaxy S24 Ultra S-View Wallet Phone Case, Protective Cover ... combines sleek design with outstanding performance.",samsung galaxy s24 ultra,35.95,0,0,1.148
